CHANNEL,NAME,CALL LETTERS,U450,U300,U200,U-fam,Intl,PE/Ux00Latino,HD Premium Tier,Addtl Channels
846,@MAX,ATMAX,TRUE,,,,,,,TRUE
840,5StarMAX,5STAR,TRUE,,,,,,,TRUE
1840,5StarMax HD,5MAXHD,TRUE,,,,,,,TRUE
132,A&E,A&E,TRUE,TRUE,TRUE,,,,,
132,A&E - West,A&E-W,TRUE,TRUE,TRUE,,,,,
1132,A&E HD,A&E HD,TRUE,TRUE,TRUE,,,,,
3712,aapka Colors,APCLR,,,,,TRUE,,,
178,ABC Family,FAM,TRUE,TRUE,TRUE,,,,,
179,ABC Family - West,FAM-W,TRUE,TRUE,TRUE,,,,,
1178,ABC Family Channel HD,FAM HD,TRUE,TRUE,TRUE,,,,,
1179,ABC Family Channel HD - West,FAMHDW,TRUE,TRUE,TRUE,,,,,
9910,Account Manager,,TRUE,TRUE,TRUE,TRUE,,,,
836,ActionMAX,ACTMAX,TRUE,,,,,,,TRUE
837,ActionMAX - West,ACTM-W,TRUE,,,,,,,TRUE
1836,ActionMax HD,ACTMHD,TRUE,,,,,,,TRUE
1837,ActionMAX HD - West,ACTMHW,TRUE,,,,,,,TRUE
1401,All About U-verse Interactive Application,APP,TRUE,TRUE,TRUE,TRUE,,,,
401,All About U-verse Interactive Channel,APP,TRUE,TRUE,TRUE,TRUE,,,,
795,AMC,AMC,TRUE,TRUE,TRUE,,,,,
796,AMC - West,AMC-W,TRUE,TRUE,TRUE,,,,,
1795,AMC HD,AMC HD,TRUE,TRUE,TRUE,,,,,
297,Amex-Explore Play Learn,APP,TRUE,TRUE,TRUE,TRUE,,,,
252,Animal Planet,APL,TRUE,TRUE,TRUE,TRUE,,,,
253,Animal Planet - West,APL-W,TRUE,TRUE,TRUE,TRUE,,,,
1252,Animal Planet HD,APL HD,TRUE,TRUE,TRUE,TRUE,,,,
3732,Arabic Radio & Television,ART,,,,,TRUE,,,
37,As Seen On TV,ASO TV,TRUE,TRUE,TRUE,TRUE,,,,
101,AT&T Pay Per View Schedule,PPVSCH,TRUE,TRUE,TRUE,TRUE,,,,
300,AT&T U-verse Buzz,BUZZ,TRUE,TRUE,TRUE,TRUE,,,,
100,AT&T U-verse Front Row,FRTROW,TRUE,TRUE,TRUE,TRUE,,,,
