Viewer Channel,Channel Name,Call Letters (EPG),SD/HD,Channel Type,Blackout Required?,Channel Acquisition,U-FAM,U100,U200,U300,U400,,,,,,,,,,,,,,,,,,,,,,,,,
173,GSN - Game Show Network,GSN,SD,Linear,NO,National,,,YES,YES,YES
178,ABC Family,FAM,SD,Linear,NO,National,,YES,YES,YES,YES
180,WGN America,WGN,SD,Linear,YES,National,,YES,YES,YES,YES
181,Bravo,BRAVO,SD,Linear,NO,National,,YES,YES,YES,YES
183,LOGO,LOGO,SD,Linear,NO,National,,,YES,YES,YES
188,BBC America,BBCA,SD,Linear,NO,National,,,YES,YES,YES
189,Current TV,CURNT,SD,Linear,NO,National,,,,YES,YES
191,tlnovelas,TLNOV,SD,Linear,NO,National,,,,,
192,mun2,MUN2,SD,Dual,NO,National,,,YES,YES,YES
194,nuvoTV,nuvoTV,SD,Linear,NO,National,,,YES,YES,YES
196,BuyIt,BUYIT,SD,Linear,NO,National,YES,YES,YES,YES,YES
197,Jewelry TV,JWLTV,SD,Dual,NO,National,YES,YES,YES,YES,YES
198,AT&T U-verse Shopping 4,USHOP4,SD,Dual,NO,National,YES,YES,YES,YES,YES
199,Offers On Demand,,APP,APP,NO,National,YES,YES,YES,YES,YES
200,AT&T U-verse Movies,MOVIES,HD,Linear,NO,National,YES,YES,YES,YES,YES
201,News Multiview,,APP,APP,NO,National,YES,YES,YES,YES,YES
202,CNN,CNN,SD,Linear,NO,National,,YES,YES,YES,YES
203,CNN Headline News,HLN,SD,Linear,NO,National,,YES,YES,YES,YES
205,CNN International,CNNI,SD,Linear,NO,National,,,,YES,YES
210,Fox News Channel,FNC,SD,Linear,NO,National,,,YES,YES,YES
211,Fox Business Network,FBN,SD,Linear,NO,National,,,YES,YES,YES
215,MSNBC,msnbc,SD,Linear,NO,National,,YES,YES,YES,YES
216,CNBC,CNBC,SD,Linear,NO,National,YES,YES,YES,YES,YES
217,CNBC World,CNBCW,SD,Linear,NO,National,,,,YES,YES
218,CNBC Application,,APP,APP,NO,National,YES,YES,YES,YES,YES
222,Bloomberg TV,BLOOM,SD,Linear,NO,National,YES,,YES,YES,YES
225,The Weather Channel,TWC,SD,Linear,NO,National,YES,YES,YES,YES,YES
227,Weather On Demand MPF,,APP,APP,NO,National,YES,YES,YES,YES,YES
228,BUY TV,BUY TV,SD,Linear,NO,National,YES,YES,YES,YES,YES
230,C-SPAN,CSPAN1,SD,Linear,NO,National,YES,YES,YES,YES,YES
231,C-SPAN 2,CSPAN2,SD,Linear,NO,National,YES,YES,YES,YES,YES
232,C-SPAN 3,CSPAN3,SD,Linear,NO,National,YES,,YES,YES,YES
243,ABC News Now,ABCNN,SD,Linear,NO,National,,YES,YES,YES,YES
247,BuyIt2,BUYIT2,SD,Linear,NO,National,YES,YES,YES,YES,YES
250,TLC,TLC,SD,Linear,NO,National,,YES,YES,YES,YES
252,Animal Planet,APL,SD,Linear,NO,National,YES,YES,YES,YES,YES
254,Travel Channel,TRVL,SD,Linear,NO,National,,YES,YES,YES,YES
256,History,HIST,SD,Linear,NO,National,YES,YES,YES,YES,YES
257,H2,H2,SD,Linear,NO,National,,,YES,YES,YES
258,Science,SCI,SD,Linear,NO,National,YES,YES,YES,YES,YES
259,Military Channel,MIL,SD,Linear,NO,National,,,YES,YES,YES
260,Investigation Discovery,ID,SD,Linear,NO,National,,,,YES,YES
264,NASA TV,NASA,SD,Linear,NO,National,,,,YES,YES
265,National Geographic Channel,NGC,SD,Linear,NO,National,YES,YES,YES,YES,YES
266,Nat Geo WILD,NGW,SD,Linear,NO,National,,,YES,YES,YES
272,BIO,BIO,SD,Linear,NO,National,,,YES,YES,YES
276,Military History Channel,MHC,SD,Linear,NO,National,,,YES,YES,YES
297,Amex-Explore Play Learn,APP,APP,APP,NO,National,YES,YES,YES,YES,YES
300,AT&T U-verse Buzz,BUZZ,HD,Linear,NO,National,YES,YES,YES,YES,YES
301,Kids Multiview,,APP,APP,NO,National,YES,YES,YES,YES,YES
302,Disney Channel,DIS,SD,Linear,NO,National,YES,YES,YES,YES,YES
304,Disney XD,DISXD,SD,Linear,NO,National,YES,YES,YES,YES,YES
314,Nickelodeon,NICK,SD,Linear,NO,National,YES,YES,YES,YES,YES
316,Nick2,NICK2,SD,Linear,NO,National,YES,YES,YES,YES,YES
318,Nicktoons,NKTN,SD,Linear,NO,National,YES,,YES,YES,YES
320,Nick Jr.,NKJR,SD,Linear,NO,National,YES,YES,YES,YES,YES
322,TeenNick,TNCK,SD,Linear,NO,National,YES,YES,YES,YES,YES
325,Cartoon Network,TOON,SD,Linear,NO,National,,YES,YES,YES,YES
